p	mean	conf_05	conf_95	trace_00	trace_01	trace_02	trace_03	trace_04	trace_05	trace_06	trace_07	trace_08	trace_09	trace_10	trace_11	trace_12	trace_13	trace_14	trace_15	trace_16	trace_17	trace_18	trace_19	trace_20	trace_21	trace_22	trace_23	trace_24	trace_25	trace_26	trace_27	trace_28	trace_29	trace_30	trace_31	trace_32	trace_33	trace_34	trace_35	trace_36	trace_37	trace_38	trace_39	trace_40	trace_41	trace_42	trace_43	trace_44	trace_45	trace_46	trace_47	trace_48	trace_49
0.85859	0.19657	0.03205	0.24149715900421143	0.03591	0.04309	0.07132	0.23493	0.04586	0.03804	0.06272	0.03181	0.03953	1.68123	0.03380	0.03801	0.02107	0.03306	0.02632	0.07313	0.06856	0.04543	1.70748	0.11040	0.08186	0.07855	0.04149	0.07254	0.03208	0.06884	0.02472	0.11813	0.07970	0.04547	0.05075	0.07072	0.06132	0.30058	0.03250	0.05981	0.02506	1.64598	0.04412	0.09223	0.03432	0.04004	0.05347	0.05613	0.03515	0.04148	0.12025	0.04347	0.03571	1.90047
0.86869	0.27504	0.03428	0.6450440883636475	0.03848	0.04029	0.07561	0.52323	0.06052	0.02617	0.06229	0.06262	0.05181	2.12601	0.03455	0.05315	0.07724	0.04777	0.13924	0.10422	1.74139	0.04116	2.19867	0.05410	0.09251	0.08764	0.09035	0.08236	0.03002	0.21620	0.03137	0.14270	0.08902	0.08339	0.04353	0.11027	0.02326	0.15556	0.03353	0.05174	0.04116	2.00682	0.04956	0.27597	0.03436	0.09302	0.06011	0.05612	0.10129	0.04774	0.04835	0.10892	0.07568	1.83104
0.87879	0.36492	0.04489	1.0570440292358398	0.09776	0.04741	0.02697	0.95350	0.06573	0.12128	0.11848	0.03530	0.05843	2.06843	0.08279	0.36227	0.40086	0.06568	0.61593	0.06019	1.98899	0.06817	2.43831	0.11847	0.09569	0.09352	0.09569	0.09484	0.05004	0.57848	0.06144	0.31410	0.07755	0.43244	0.32266	0.10273	0.05367	0.19011	0.07522	0.07928	0.03955	2.16436	0.06645	0.54383	0.02922	0.13411	0.07887	0.04549	0.10863	0.03726	0.04624	0.06374	0.09081	2.28523
0.88889	0.51759	0.03227	1.8700988292694092	0.03383	0.18247	0.02885	1.24302	0.29252	0.01952	0.35189	0.19099	0.12687	2.40888	0.03076	0.17569	1.37440	0.16688	1.54866	0.03834	2.34626	0.11525	2.66411	0.06308	0.04454	0.03060	0.03468	0.03444	0.12240	1.50389	0.11332	0.54919	0.03956	1.83444	0.69372	0.30710	0.19609	0.18767	0.05606	0.18788	0.03230	2.19102	0.06497	0.90601	0.05650	0.04443	0.23499	0.13203	0.21841	0.07052	0.05130	0.03197	0.03606	2.47107
0.89899	0.69157	0.05449	2.320463180541992	0.05759	0.48691	0.03954	1.27178	0.66184	0.10544	0.87695	0.49461	0.19112	2.58536	0.12905	0.15338	2.14737	0.33525	2.36311	0.07353	2.09690	0.27593	2.69721	0.13509	0.18425	0.05128	0.04380	0.12038	0.31521	2.68143	0.28902	0.99506	0.18183	2.56203	0.12570	0.51868	0.59437	0.32843	0.17432	0.46470	0.05696	2.14540	0.05484	1.55040	0.16378	0.09263	0.22916	0.43139	0.36048	0.15087	0.12886	0.04288	0.04678	2.31572
0.90909	0.98681	0.14725	2.695194959640503	0.19887	1.70082	0.18402	1.64585	0.98134	0.14984	1.87661	1.02245	0.43646	2.75180	0.31463	0.22079	2.60949	0.76326	2.75663	0.03041	2.22564	0.56930	2.93958	0.31027	0.51885	0.24957	0.12129	0.39358	0.61584	3.46182	0.53970	2.01354	0.47064	2.77156	0.19298	0.86235	1.26144	0.65369	0.46396	0.87122	0.15632	2.27780	0.51794	0.85969	0.40652	0.12388	0.52983	1.22380	0.67165	0.22965	0.34008	0.10596	0.05851	2.68891
0.91919	1.45171	0.37148	2.9736602306365967	0.52225	2.78737	0.43334	1.72492	1.66661	0.29723	2.47385	1.85396	0.76813	2.86785	0.77614	0.48028	3.05654	1.26189	3.37893	0.11686	2.43459	1.05230	3.05478	0.69529	1.10957	0.58470	0.44342	1.80985	1.02398	3.84123	1.27164	2.96610	0.77856	3.04170	0.29279	1.07470	1.90116	1.10825	0.99084	1.66513	0.37973	2.52715	2.39069	0.91411	0.77122	0.54367	0.96765	2.37192	1.20754	0.53351	1.02474	0.26674	0.21904	2.86125
0.92929	1.99589	0.70523	3.157766819000244	1.83651	2.75840	0.79375	1.98618	2.78851	0.69042	3.03078	2.95164	1.33970	3.14292	1.20265	0.96767	3.18030	2.03610	3.69207	0.39327	2.58020	1.64675	2.67888	1.32957	2.34392	1.82029	1.06528	2.82220	1.30956	4.15482	2.61549	3.35902	1.28832	3.33154	0.66454	1.35835	2.37166	1.56995	1.79281	2.65267	0.66451	2.62406	2.62790	1.52121	1.24004	1.10848	1.57790	3.15526	1.96059	1.09316	2.25124	0.70688	0.61346	3.10291
0.93939	2.68119	1.50897	3.896979331970215	4.10489	3.82136	1.40321	2.39285	4.11683	1.96811	3.73684	3.49690	2.18268	3.42519	1.81012	1.85590	3.50062	2.99401	4.21060	0.98375	2.55048	2.55537	3.87388	2.16343	3.45917	2.05404	2.26792	2.52449	1.64638	4.59732	4.58559	3.84054	1.94967	3.69399	1.20494	1.64815	2.50132	2.07093	2.68553	2.22166	1.21166	2.84210	2.73048	2.35849	2.01327	2.04095	2.28102	3.80060	3.17301	2.13455	3.14403	1.52015	1.40839	3.30228
0.94949	3.08905	2.10152	4.322434425354004	4.18707	4.32093	1.84536	2.37176	5.08642	3.12099	3.53033	3.55342	2.62936	3.47905	2.04201	2.75044	3.42585	3.45897	3.91605	2.41350	2.47214	2.01147	3.71864	2.82638	3.63088	2.04614	2.69198	2.61184	2.42622	4.71837	5.03846	4.03577	2.10767	3.58304	2.19533	3.29316	2.76190	2.59444	2.92112	2.65897	1.70999	2.65603	3.99655	3.43849	2.53238	2.15483	3.04891	4.33597	4.37452	2.60025	3.66611	2.22192	2.24090	3.00037
0.95960	2.60367	1.63874	3.9717462062835693	3.50003	3.91989	1.83550	3.57678	3.99840	2.92115	2.18402	2.83147	2.37880	2.66876	1.73138	1.94732	2.40059	2.54238	2.44996	3.96878	1.53247	1.76520	1.98852	3.40454	3.24738	1.60553	1.82044	2.28742	2.10219	4.05386	4.35167	3.76818	1.40482	2.27633	3.09081	2.41142	1.55753	2.36581	2.09905	2.15979	1.74907	1.64159	4.24453	2.27433	2.34796	1.61310	3.20696	4.29594	2.08081	2.31722	3.25168	2.35743	2.71858	1.93633
0.96970	1.40113	0.67946	2.405117988586426	2.28875	2.16240	1.24935	2.48090	3.63074	1.31701	0.83002	1.20698	1.44796	0.83140	0.95038	1.09207	0.98777	0.95336	1.76780	2.39670	0.41107	0.82271	1.98967	3.00334	1.18365	0.81357	0.74891	1.05161	0.57929	1.69765	2.84456	2.83172	0.43510	0.59419	2.37501	0.68267	1.00282	1.25241	1.06043	1.05958	1.79559	1.01010	0.65064	0.70069	1.12581	1.14913	2.01940	1.65630	1.08328	1.24319	0.75683	1.60314	2.30922	0.91981
0.97980	1.41063	0.69760	2.5611412525177	0.66920	1.53570	0.70076	1.69249	1.77785	1.49700	1.69273	1.10929	1.29400	2.57305	1.05462	1.65738	1.10462	1.16576	1.75187	0.62053	2.00522	0.98418	2.69671	0.62332	1.77455	2.67739	1.92041	1.72444	1.91382	0.97829	0.89702	0.54911	2.06597	2.68516	0.96144	2.60820	0.83150	0.78754	0.86144	2.01129	0.58281	0.72102	2.55982	1.68805	0.93417	1.10540	0.90321	1.63249	1.07949	0.92719	2.39980	0.91526	0.71367	0.91548
0.98990	2.65580	1.91821	3.6511383056640625	1.82122	2.71011	1.92270	2.74206	3.03172	2.53342	2.79474	2.20840	2.52132	4.20295	2.44369	2.93384	2.29134	2.49011	2.86725	2.14642	3.07715	2.62356	3.79237	2.09638	3.34232	3.26502	3.00637	3.42432	2.81145	2.27847	2.23007	1.87541	2.77117	3.69085	2.50106	4.08261	1.87774	2.12397	2.06345	2.94927	1.80642	1.73211	4.59909	2.52372	2.28230	2.63424	2.10065	3.06834	2.57182	2.04608	3.64673	2.11139	1.93798	2.18490
1.00000	3.29843	2.35627	4.92617654800415	2.04826	3.09753	2.35315	3.00600	3.68212	2.82752	3.27985	2.41671	2.95995	5.80446	3.02438	3.62965	2.58924	3.08042	3.53839	2.61288	3.95497	3.44346	5.30051	2.92940	4.32598	3.72549	3.49178	4.91839	3.48545	2.68233	2.53003	2.32249	3.29356	4.99623	2.95857	5.91481	2.24922	2.53255	2.47892	3.37005	2.19548	2.43943	6.64749	2.68155	2.88667	3.17179	2.53281	3.67716	3.05038	2.46998	4.45998	2.45993	2.35661	3.03778
