p	mean	conf_05	conf_95	trace_00	trace_01	trace_02	trace_03	trace_04	trace_05	trace_06	trace_07	trace_08	trace_09	trace_10	trace_11	trace_12	trace_13	trace_14	trace_15	trace_16	trace_17	trace_18	trace_19	trace_20	trace_21	trace_22	trace_23	trace_24	trace_25	trace_26	trace_27	trace_28	trace_29	trace_30	trace_31	trace_32	trace_33	trace_34	trace_35	trace_36	trace_37	trace_38	trace_39	trace_40	trace_41	trace_42	trace_43	trace_44	trace_45	trace_46	trace_47	trace_48	trace_49
0.42424	2.01816	1.98331	2.729776620864868	2.68975	2.32114	2.71744	2.50680	2.35271	2.40217	2.27591	2.27424	2.68638	2.77071	2.49959	1.94765	2.39299	2.79609	2.44591	2.30286	2.28070	1.48801	2.72327	3.20544	2.52003	2.33466	2.14815	1.95977	2.49708	2.34844	2.00757	1.98593	2.32720	1.36922	2.28706	2.27748	2.56231	2.48408	2.64888	2.50471	2.72523	2.60748	2.23661	2.22195	2.94638	2.07719	1.40398	2.03465	2.19099	2.87520	2.16445	2.00612	2.09100	2.58256
0.43434	1.91906	1.82329	2.660130262374878	2.64572	2.18075	2.62734	2.42905	2.26181	2.31793	2.16687	2.26309	2.58093	2.65640	2.43842	1.82444	2.39502	2.76915	2.41779	1.97538	2.20360	1.21200	2.58629	3.05748	2.49455	2.25285	1.98504	1.70957	2.41561	2.30816	1.84230	1.81291	2.23195	1.13882	2.18472	2.06823	2.41225	2.38682	2.61841	2.42937	2.64192	2.69367	2.02243	1.98361	2.92960	1.97184	1.07202	1.83002	2.21428	2.71577	1.95116	1.86985	1.99654	2.49127
0.44444	1.82265	1.66803	2.5741522312164307	2.60217	2.09473	2.57104	2.38427	2.18946	2.19427	2.03583	2.10223	2.44790	2.54605	2.35694	1.68718	2.33815	2.61797	2.34158	1.66840	2.08170	1.01421	2.44140	2.88444	2.45765	2.17499	1.84082	1.39926	2.39719	2.20763	1.70852	1.79706	2.14664	1.03290	2.07939	1.68367	2.13296	2.31221	2.56470	2.35042	2.55363	2.87462	1.79996	1.88513	2.94458	1.85297	0.83951	1.72395	2.13749	2.54205	1.66474	1.78437	1.86541	2.38525
0.45455	1.72598	1.39059	2.5102627277374268	2.55442	1.90260	2.51947	2.38363	2.10068	2.06829	1.90036	2.04580	2.34123	2.45717	2.32111	1.60952	2.25457	2.42713	2.24455	1.40512	1.91635	0.87838	2.12562	2.80690	2.43518	2.18909	1.84732	1.18636	2.34495	2.19952	1.51957	1.74268	1.99502	0.90374	1.97745	1.39674	1.70065	2.28052	2.50924	2.27544	2.45870	3.22418	1.52315	1.71266	2.85279	1.64916	0.64336	1.59229	2.11613	2.44764	1.33524	1.64090	1.78834	2.26257
0.46465	1.63133	1.11536	2.4607431888580322	2.48434	1.86387	2.46069	2.29955	2.02721	2.02170	1.78394	1.95658	2.27645	2.43048	2.24043	1.52182	2.23362	2.37228	2.14975	1.19210	1.83101	0.77184	1.75518	2.79554	2.41133	2.06196	1.79858	1.11561	2.31380	2.12691	1.32676	1.75140	1.65602	0.84521	1.91218	1.13466	1.11315	2.20182	2.46126	2.22000	2.35682	3.33141	1.25834	1.57671	2.51034	1.42392	0.51528	1.52057	1.97543	2.43956	1.03643	1.53343	1.81062	2.12293
0.47475	1.53867	0.99005	2.396145820617676	2.39521	1.76976	2.40460	2.25278	1.93463	1.97075	1.61777	1.91509	2.09162	2.42835	2.22888	1.47163	2.18854	2.37333	2.14529	1.03539	1.71912	0.67883	1.33101	2.80670	2.45626	1.98312	1.82757	1.56122	2.23358	2.09252	1.18520	1.91009	1.17475	0.79891	1.78689	1.01129	0.67923	2.08903	2.39100	2.14033	2.25352	2.96053	1.04099	1.45922	2.24925	1.26175	0.42796	1.47754	1.97845	2.34111	0.76948	1.36770	2.10726	1.97655
0.48485	1.43862	0.80373	2.377591848373413	2.34040	1.76490	2.33041	2.21398	1.87049	1.91382	1.49317	1.90675	1.94776	2.39802	2.20801	1.49269	2.19117	2.27715	2.07778	0.93977	1.75223	0.61883	0.96364	2.80329	2.39110	1.96175	1.82537	2.65939	2.21675	2.01241	0.98375	2.17726	0.80917	0.75475	1.67911	1.03247	0.47165	1.96694	2.34240	2.11680	2.16086	2.68477	0.90046	1.37059	2.11490	1.06367	0.37284	1.52500	1.94431	2.22634	0.59085	1.24935	2.37609	1.84343
0.49495	1.32574	0.71847	2.2594823837280273	2.30387	1.73820	2.25566	2.08184	1.85038	1.71587	1.39299	1.90711	1.75032	2.22509	2.16998	1.52136	2.10559	2.20278	1.97986	0.86668	1.73660	0.58942	0.73281	2.76225	2.35387	1.92135	1.95358	2.25819	2.13592	1.94016	0.84592	2.26594	0.56077	0.76371	1.45211	1.48226	0.28840	1.87611	2.25876	2.09023	2.06549	2.30399	0.75048	1.38338	2.03917	0.78358	0.33041	1.55092	1.90248	2.09592	0.47035	1.05285	2.06647	1.68906
0.50505	1.19944	0.59902	2.212970495223999	2.21329	1.70456	2.24677	2.04823	1.72257	1.63957	1.30974	1.87840	1.37898	1.89175	2.03789	1.60511	1.99371	2.18051	1.80808	0.82945	1.66487	0.59981	0.59194	2.72706	2.27414	1.91548	2.12584	1.08822	2.21293	1.81264	0.67399	2.19421	0.41056	0.81173	1.26620	2.29622	0.24080	1.77721	2.17225	2.03930	1.98464	1.91547	0.63427	1.47267	2.00555	0.64799	0.29034	1.62061	1.86316	1.88101	0.39896	0.83469	1.47641	1.53465
0.51515	1.05811	0.48830	2.1053874492645264	2.12843	1.78857	2.15250	2.02635	1.43619	1.44836	1.26574	1.83521	0.84473	1.70443	2.05540	1.77763	1.94541	2.08525	1.81206	0.86827	1.59174	0.69681	0.51701	2.61184	2.21452	1.92467	2.10283	0.51109	2.18229	1.69849	0.48113	2.08986	0.32201	0.95100	1.04714	0.89807	0.20502	1.52533	2.05732	1.96971	1.94221	1.81674	0.56610	1.60943	2.00027	0.48909	0.25682	1.62108	1.89699	1.71586	0.34268	0.65276	0.81874	1.40049
